Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B0:52:16:08:15:F6, 2023-09-20 21:05:15, 2023-09-20 21:05:15, -87,        1, (not associated) ,Dalke Residence
12:8D:40:2B:43:BF, 2023-09-20 21:05:06, 2023-09-20 21:05:06, -86,        1, A0:FF:70:DF:2E:D2,
2C:64:1F:FE:08:96, 2023-09-20 21:05:06, 2023-09-20 21:05:25, -82,        2, (not associated) ,stripling Guest
40:CA:63:56:F2:A0, 2023-09-20 21:05:05, 2023-09-20 21:05:31, -76,       24, (not associated) ,
7A:7A:1A:EB:51:BC, 2023-09-20 21:05:17, 2023-09-20 21:05:20, -75,       12, C8:9E:43:47:78:59,
CA:5D:6E:DF:8C:A0, 2023-09-20 21:05:13, 2023-09-20 21:05:13, -73,        5, C8:9E:43:47:78:58,
CE:21:A6:8C:F2:BF, 2023-09-20 21:05:13, 2023-09-20 21:05:13, -73,        2, (not associated) ,
40:CA:63:18:A4:98, 2023-09-20 21:05:05, 2023-09-20 21:05:32, -63,       35, (not associated) ,stripling Guest
40:CA:63:10:80:35, 2023-09-20 21:05:04, 2023-09-20 21:05:32, -64,       85, (not associated) ,stripling Guest
48:A6:B8:EC:E7:4A, 2023-09-20 21:05:17, 2023-09-20 21:05:17, -63,        1, A0:FF:70:DF:2E:D2,
CE:9E:43:8C:1B:B2, 2023-09-20 21:05:06, 2023-09-20 21:05:13, -57,        7, C8:9E:43:47:78:59,
04:0E:3C:F8:88:EB, 2023-09-20 21:05:19, 2023-09-20 21:05:31, -46,        6, (not associated) ,stripling Guest
A0:FF:70:DF:2E:D2, 2023-09-20 21:05:24, 2023-09-20 21:05:24,  -1,        1, A0:FF:70:DF:2E:D2,
10:2D:41:1E:4E:63, 2023-09-20 21:05:31, 2023-09-20 21:05:31,  -1,        2, C8:9E:43:47:78:59,

