
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A0:63:91:3E:D8:CE, 2023-09-25 21:15:59, 2023-09-25 21:15:59,  7,  -1, WPA, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
C4:34:6B:0E:FF:18, 2023-09-25 21:16:02, 2023-09-25 21:16:06,  1,  54, WPA2, CCMP, PSK, -92,        2,        0,   0.  0.  0.  0,  30, HP-Print-18-Officejet Pro 8620, 
4E:A5:6E:5A:8C:5C, 2023-09-25 21:16:00, 2023-09-25 21:16:11,  3, 360, WPA2, CCMP, PSK, -90,        3,        0,   0.  0.  0.  0,   0, , 
4A:A5:6E:5A:8C:5C, 2023-09-25 21:16:07, 2023-09-25 21:16:07,  3, 360, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,  18, Don't Mesh With Me, 
82:5B:65:98:22:A0, 2023-09-25 21:16:01, 2023-09-25 21:16:16, 11,  65, WPA2, CCMP, PSK, -90,        5,        0,   0.  0.  0.  0,  22, [LG_MicrowaveOven]22a0, 
AA:40:A0:6F:C6:C3, 2023-09-25 21:16:03, 2023-09-25 21:16:25,  3, 360, WPA2, CCMP, PSK, -91,        4,        0,   0.  0.  0.  0,   0, , 
A6:40:A0:6F:BE:DF, 2023-09-25 21:16:04, 2023-09-25 21:16:11,  3, 360, WPA2, CCMP, PSK, -89,        6,        0,   0.  0.  0.  0,   6, Hawaii, 
4A:A5:6E:59:07:22, 2023-09-25 21:16:00, 2023-09-25 21:16:18,  3, 360, WPA2, CCMP, PSK, -89,        7,        0,   0.  0.  0.  0,  18, Don't Mesh With Me, 
86:EA:ED:0E:74:D1, 2023-09-25 21:16:01, 2023-09-25 21:16:19,  4, 130, WPA2, CCMP, PSK, -89,        7,        0,   0.  0.  0.  0,   0, , 
80:D0:4A:DE:88:18, 2023-09-25 21:16:20, 2023-09-25 21:16:20,  1, 130, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,  10, SETUP-8814, 
6C:AE:F6:FC:07:64, 2023-09-25 21:15:59, 2023-09-25 21:16:25,  2, 360, WPA3 WPA2, CCMP, SAE, -85,       10,        0,   0.  0.  0.  0,   0, , 
4E:A5:6E:59:07:22, 2023-09-25 21:16:00, 2023-09-25 21:16:11,  3, 360, WPA2, CCMP, PSK, -88,        6,        0,   0.  0.  0.  0,   0, , 
D8:47:32:99:54:30, 2023-09-25 21:15:59, 2023-09-25 21:16:06,  7, 130, WPA2, CCMP, PSK, -88,        2,        0,   0.  0.  0.  0,  12, q[woeiFJ_EXT, 
A6:40:A0:6F:C6:C3, 2023-09-25 21:16:07, 2023-09-25 21:16:25,  3, 360, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,   6, Hawaii, 
6C:AE:F6:FC:07:6A, 2023-09-25 21:16:03, 2023-09-25 21:16:25,  2, 360, OPN, ,   , -88,       11,        0,   0.  0.  0.  0,   0, , 
AA:40:A0:6F:BE:DF, 2023-09-25 21:16:04, 2023-09-25 21:16:26,  3, 360, WPA2, CCMP, PSK, -88,        8,        2,   0.  0.  0.  0,   0, , 
6C:AE:F6:AB:83:EA, 2023-09-25 21:16:07, 2023-09-25 21:16:10,  2, 360, OPN, ,   , -88,        2,        0,   0.  0.  0.  0,   0, , 
6C:AE:F6:FC:07:67, 2023-09-25 21:16:03, 2023-09-25 21:16:25,  2, 360, WPA2, CCMP, PSK, -87,        4,        1,   0.  0.  0.  0,  12, Banjoneteero, 
90:D0:92:10:35:94, 2023-09-25 21:15:59, 2023-09-25 21:16:18,  8, 260, WPA2, CCMP, PSK, -88,        3,        2,   0.  0.  0.  0,   4, MAUI, 
10:C4:CA:45:89:74, 2023-09-25 21:16:01, 2023-09-25 21:16:27, 11, 260, WPA2, CCMP, PSK, -89,        7,        2,   0.  0.  0.  0,  14, RichShoes$ 2.4, 
5A:33:B7:9A:F9:18, 2023-09-25 21:16:02, 2023-09-25 21:16:02,  6,  -1, WPA, ,   , -87,        0,        1,   0.  0.  0.  0,   0, , 
60:B7:6E:D9:80:FD, 2023-09-25 21:16:01, 2023-09-25 21:16:23, 11, 130, WPA2, CCMP, PSK, -87,        6,        0,   0.  0.  0.  0,   6, Stuffy, 
6C:CD:D6:0F:26:58, 2023-09-25 21:16:18, 2023-09-25 21:16:18,  9,  -1, WPA, ,   , -87,        0,        4,   0.  0.  0.  0,   0, , 
